iter	Passed	Remaining
438	1279	1634
439	1280	1630
440	1282	1625
441	1284	1621
442	1285	1616
443	1287	1612
444	1289	1607
445	1291	1603
446	1293	1600
447	1296	1598
448	1298	1593
449	1300	1589
450	1303	1586
451	1309	1587
452	1315	1588
453	1320	1587
454	1322	1583
455	1323	1579
456	1326	1576
457	1329	1573
458	1331	1568
459	1332	1564
460	1334	1559
461	1335	1555
462	1336	1550
463	1338	1546
464	1340	1542
465	1342	1537
466	1343	1533
467	1345	1529
468	1346	1524
469	1348	1520
470	1349	1516
471	1351	1511
472	1352	1507
473	1354	1503
474	1355	1498
475	1357	1494
476	1359	1491
477	1362	1487
478	1365	1484
479	1366	1480
480	1369	1477
481	1371	1473
482	1373	1470
483	1375	1466
484	1376	1461
485	1378	1457
486	1380	1453
487	1381	1449
488	1383	1445
489	1385	1441
490	1387	1438
491	1389	1434
492	1390	1430
493	1392	1426
494	1394	1422
495	1395	1418
496	1397	1414
497	1398	1409
498	1400	1406
499	1402	1402
500	1404	1398
501	1406	1394
502	1407	1391
503	1409	1387
504	1411	1383
505	1413	1380
506	1415	1376
507	1417	1372
508	1418	1368
509	1420	1364
510	1421	1360
511	1423	1356
512	1426	1353
513	1427	1349
514	1429	1346
515	1432	1343
516	1433	1339
517	1435	1335
518	1437	1332
519	1439	1328
520	1441	1324
521	1443	1322
522	1445	1318
523	1447	1314
524	1449	1311
525	1451	1307
526	1455	1306
527	1458	1303
528	1461	1301
529	1463	1297
530	1465	1293
531	1467	1290
532	1468	1286
533	1470	1283
534	1472	1280
535	1474	1276
536	1475	1272
537	1477	1268
538	1478	1264
539	1480	1260
540	1481	1257
541	1483	1253
542	1485	1249
543	1486	1246
544	1488	1242
545	1489	1238
546	1491	1235
547	1493	1231
548	1494	1227
549	1496	1224
550	1497	1220
551	1499	1217
552	1500	1213
553	1502	1209
554	1503	1205
555	1505	1202
556	1506	1198
557	1508	1194
558	1509	1190
559	1511	1187
560	1514	1184
561	1515	1181
562	1517	1178
563	1519	1174
564	1521	1171
565	1522	1167
566	1524	1164
567	1526	1160
568	1527	1157
569	1529	1153
570	1531	1150
571	1532	1146
572	1534	1143
573	1536	1140
574	1538	1137
575	1540	1134
576	1542	1131
577	1544	1127
578	1547	1125
579	1549	1122
580	1552	1119
581	1555	1117
582	1558	1114
583	1560	1111
584	1563	1109
585	1566	1106
586	1574	1107
587	1578	1105
588	1582	1104
589	1584	1101
590	1586	1098
591	1592	1097
592	1595	1095
593	1598	1092
594	1599	1088
595	1603	1086
596	1606	1084
597	1609	1082
598	1612	1079
599	1613	1075
600	1615	1072
601	1617	1069
602	1618	1065
603	1620	1062
604	1622	1059
605	1624	1056
606	1626	1053
607	1628	1049
608	1629	1046
609	1631	1043
610	1633	1040
611	1644	1042
612	1646	1039
613	1652	1039
614	1657	1037
615	1662	1036
616	1664	1032
617	1669	1032
618	1671	1029
619	1674	1026
620	1676	1023
621	1679	1020
622	1681	1017
623	1683	1014
624	1686	1011
625	1688	1008
626	1690	1005
627	1693	1003
628	1696	1000
629	1700	998
630	1704	996
631	1712	997
632	1714	994
633	1717	991
634	1719	988
635	1721	985
636	1724	982
637	1726	979
638	1727	976
639	1729	972
640	1731	969
641	1733	966
642	1734	963
643	1736	959
644	1738	956
645	1739	953
646	1741	950
647	1743	947
648	1746	944
649	1748	941
650	1751	939
651	1754	936
652	1757	934
653	1759	931
654	1761	927
655	1764	925
656	1767	922
657	1770	920
658	1773	917
659	1776	914
660	1778	912
661	1781	909
662	1782	906
663	1785	903
664	1787	900
665	1790	897
666	1792	895
667	1794	891
668	1796	888
669	1798	885
670	1800	882
671	1802	880
672	1804	876
673	1806	873
674	1808	870
675	1810	867
676	1812	864
677	1817	863
678	1822	861
679	1824	858
680	1828	856
681	1831	853
682	1833	850
683	1836	848
684	1840	846
685	1843	843
686	1845	840
687	1848	838
688	1850	835
689	1851	831
690	1853	828
691	1857	826
692	1859	823
693	1862	821
694	1864	818
695	1873	818
696	1874	815
697	1877	812
698	1879	809
699	1881	806
700	1883	803
701	1885	800
702	1888	797
703	1890	794
704	1892	791
705	1894	788
706	1896	785
707	1898	782
708	1900	779
709	1903	777
710	1905	774
711	1907	771
712	1909	768
713	1911	765
714	1913	762
715	1916	760
716	1918	757
717	1920	754
718	1923	751
719	1925	748
720	1926	745
721	1928	742
722	1942	744
723	1950	743
724	1952	740
725	1975	745
726	1989	747
727	1994	745
728	2001	743
729	2004	741
730	2008	739
731	2011	736
732	2014	733
733	2019	731
734	2026	730
735	2037	730
736	2046	730
737	2053	728
738	2057	726
739	2068	726
740	2072	724
741	2077	722
742	2086	721
743	2089	718
744	2091	716
745	2098	714
